31	0.85	1	5	17.883333333333333	0.007358540917572936	32.0
20140225_2050	11	1.0	4.665920119447555E-4	Ukraine bitcoin Syria Free Venezuela 	1	0.04563053097345133	0.022884402654867256	0.8867533185840708	0.04473174778761062
20140225_2120	-1	0.0	0.0	Ukraine bitcoin Syria Gox Photo 	1	0.05392454612944591	0.023891476007288925	0.8728487548086657	0.04933522305459945
20140225_2150	12	1.0	2.0602980564521668E-4	bitcoin Ukraine syria Gox KIEV 	1	0.06343661971830986	0.023586854460093898	0.8705727699530517	0.0424037558685446
20140225_2240	18	1.0	1.4638073629510357E-4	Ukraine bitcoin Syria Man signed 	1	0.07016844774497373	0.021626516935337802	0.8428907806556784	0.06531425466401014
20140225_2320	13	0.25	8.108327252087895E-5	Ukraine bitcoin man United good 	1	0.07808263247391883	0.022335585275058596	0.8508203501999173	0.04876143205110529
20140226_0010	16	0.0	0.0	Ukraine bitcoin Syria people times 	1	0.05377297645920671	0.026483392454047083	0.8701628506933248	0.049580780393421474
20140226_0110	17	1.0	5.040957781978576E-4	Ukraine Bitcoin Syria people loving 	1	0.04632911392405063	0.034936708860759495	0.8781012658227848	0.04063291139240506
20140226_0330	23	1.0	2.1605271686291454E-4	finally McDonald Ukraine Bitcoins start 	1	0.031531196549416225	0.02305346917528073	0.8982672715103741	0.04714806276492898
20140226_0420	21	0.6	3.745318352059925E-4	bitcoin Ukraine gold finally couple 	1	0.03125308094252194	0.022182786157941437	0.9050576752440106	0.04150645765552598
20140226_0650	-1	0.0	0.0	Bitcoins Ukraine Syria exchange loving 	1	0.03400868306801737	0.0306319343945972	0.8924264351181862	0.04293294741919923
20140226_0750	27	0.25	1.6431153466973383E-4	bitcoin Ukraine Syria exchanges Gox 	1	0.04319526627218935	0.027613412228796843	0.8923076923076924	0.0368836291913215
20140226_0820	28	0.4	2.6277755879647877E-4	Ukraine bitcoin syria love Gox 	1	0.032462493533367824	0.021598551474392137	0.9094671495085359	0.03647180548370409
20140226_0900	29	1.0	5.644137152532807E-4	Bitcoin Ukraine morals Syria Good 	1	0.03250201126307321	0.0251005631536605	0.8918744971842317	0.05052292839903459
20140226_0930	30	0.0	0.0	Bitcoin Ukraine Syria Times Left 	1	0.046134792032201465	0.025389617091547117	0.8880173392506967	0.040458251625554754
20140226_1010	31	0.6666666666666666	3.017046311660884E-4	Ukraine bitcoin strikes chord Syria 	1	0.03688600556070436	0.02428174235403151	0.891566265060241	0.047265987025023166
20140226_1030	33	0.3333333333333333	1.4742739200943535E-4	Ukraine bitcoin police disbanded Syria 	1	0.03474503025064823	0.019706136560069143	0.8656871218668971	0.07986171132238548
20140226_1120	44	1.0	5.946717411988582E-4	Ukraine Bitcoin police syria disbands 	1	0.058178660588299146	0.018452187126885924	0.8488006078367524	0.07456854444806252
20140226_1150	24	1.0	3.832298612707902E-4	Ukraine police bitcoin disbanded Riot 	1	0.04463026395325408	0.024380415071529316	0.8742192222446101	0.05677009873060649
20140226_1250	42	0.3333333333333333	1.3642564802182812E-4	Ukraine Bitcoin Syria police day 	1	0.044797458300238284	0.022398729150119142	0.87736298649722	0.05544082605242256
20140226_1310	43	1.0	2.801905295601009E-4	Ukraine Bitcoin Syria police disbanded 	1	0.03713151927437642	0.02118764172335601	0.8827947845804989	0.05888605442176871
20140226_1350	46	1.0	4.092909035096695E-4	Ukraine bitcoin Syria police Russia 	1	0.03769547325102881	0.02205761316872428	0.8998353909465021	0.040411522633744854
20140226_1420	48	1.0	3.9623576027736503E-4	Ukraine bitcoin Syria Russia putin 	1	0.0435903633873177	0.01901538957376521	0.893078720489888	0.04431552654902909
20140226_1510	49	0.25	1.226241569589209E-4	Ukraine bitcoin Syria troops Crimea 	1	0.04147407870081199	0.03972517176764522	0.8805746408494691	0.038226108682073705
20140226_1530	52	0.2	1.2156576707999027E-4	Ukraine bitcoin Syria Putin Crimea 	1	0.03719886632026453	0.021965044874822863	0.8984411903637223	0.04239489844119036
20140226_1550	53	0.2	1.1856770215793219E-4	Ukraine Bitcoin Syria Crimea media 	1	0.03668171557562077	0.0154627539503386	0.9085778781038375	0.03927765237020316
20140226_1610	37	1.0	2.9719890036406866E-4	Ukraine Bitcoin Syria Putin protesters 	1	0.03505273420189666	0.019941504918904545	0.9017991668882389	0.04320659399095985
20140226_1700	54	1.0	3.4674063800277393E-4	Ukraine bitcoin Syria killed Putins 	1	0.04063055062166963	0.020870337477797513	0.9067495559502664	0.03174955595026643
20140226_1750	56	0.4	1.463378941977025E-4	Ukraine Bitcoin syria Crimea people 	1	0.03406053289643873	0.020005173751832372	0.9106665516944037	0.03526774165732517
20140226_1840	57	1.0	5.70060426405199E-4	Ukraine Bitcoin Syria Michael Putin 	1	0.036744861947270085	0.02283578991073282	0.8936059788249948	0.046813369317002286
20140226_1900	59	0.0	0.0	Ukraine Michael Rigby Lee bitcoin 	1	0.02995464139758387	0.016616517716800647	0.911258813490816	0.04217002739479948
20140226_1940	-1	0.0	0.0	Ukraine Bitcoin Syria Gox love 	1	0.035648	0.02304	0.906688	0.034624

